BookURI	BookCats	BookID	BookTitle	AuthorID	AuthorNam	EditorID	EditorNam	TranslID	TranslNam	BookRel
0375IkhwanSafa.Rasail.Hindawi82924024	philosophy	82924024	رسائل إخوان الصفاء وخِلَّان الوفاء (الجزء الرابع)	36260918	إخوان الصفا	15790494	خير الدين الزركلي	None	None	None
0375IkhwanSafa.Rasail.Hindawi95926405	philosophy	95926405	رسائل إخوان الصفاء وخِلَّان الوفاء (الجزء الأول)	36260918	إخوان الصفا	15790494	خير الدين الزركلي	None	None	None
0384IbnCimranMarzubani.AshcarNisa.Hindawi29402020	poetry	29402020	أشعار النساء	41861840	المرزباني	None	None	None	None	None
0387KatibKhwarizmi.MafatihCulum.Hindawi25242408	linguistics :: philosophy	25242408	مفاتيح العلوم	72036085	محمد بن أحمد بن يوسف الخوارزمي	81918316	محمد كمال الدين الأدهمي	None	None	None
0414AbuHayyanTawhidi.HawamilWaShawamil.Hindawi48375831	philosophy :: history :: literature	48375831	الهوامل والشوامل	75193571 :: 83758502	أبو حيان التوحيدي :: ابن مسكويه	None	None	None	None	None
0414AbuHayyanTawhidi.Imtac.Hindawi93861582	philosophy :: literature	93861582	الإمتاع والمؤانسة	75193571	أبو حيان التوحيدي	20953090 :: 18035841	أحمد أمين :: أحمد الزين	None	None	None
0428IbnSina.MaHiyaCishq.Hindawi53714184	philosophy	53714184	رسالة في ماهية العشق	40974719	ابن سينا	None	None	None	None	None
0428IbnSina.MacrifatNafsNatiq.Hindawi18403864	philosophy	18403864	رسالة في معرفة النفس الناطقة وأحوالها	40974719	ابن سينا	None	None	None	None	None
0428IbnSina.Mantiq.Hindawi49725914	poetry :: philosophy	49725914	منطق المشرقيين والقصيدة المزدوجة في المنطق	40974719	ابن سينا	None	None	None	None	None
0449AbuCalaMacarri.RisalatGhufran.Hindawi95904020	arts	95904020	رسالة الغفران	47539208	أبو العلاء المعري	None	None	None	None	None
0449AbuCalaMacarri.RisalatHana.Hindawi24809605	literature	24809605	رسالة الهناء	47539208	أبو العلاء المعري	82737073	كامل كيلاني	None	None	None
0449AbuCalaMacarri.RisalatMalaika.Hindawi26173092	literature	26173092	رسالة الملائكة	47539208	أبو العلاء المعري	None	None	None	None	None
0456IbnHazm.TawqHamama.Hindawi97086179	literature	97086179	طوق الحمامة في الأُلفَةِ والأُلَّاف	53952831	علي بن حزم الأندلسي	None	None	None	None	None
0500IbnAhmadSarrajBaghdadi.MasaricCushshaq.Hindawi18482097	history :: literature	18482097	مصارع العشاق	72520282	جعفر بن أحمد بن الحسين السراج القاري البغدادي	None	None	None	None	None
0505Ghazali.MacarijQuds.Hindawi51616319	social.sciences	51616319	معارج القدس في مدارج معرفة النفس	40868580	أبو حامد الغزالي	None	None	None	None	None
0581IbnTufayl.HayyIbnYaqzan.Hindawi90463596	novels	90463596	حي بن يقظان	50503863	ابن طفيل	None	None	None	None	None
0597CimadDinKatibIsfahani.TarikhDawlatAlSaljuq.Hindawi70252813	history	70252813	تاريخ دولة آل سلجوق: اختصار الشيخ الإمام العالم الفتح بن علي بن محمد البنداري الأصفهاني	60938079	عماد الدين الأصفهاني	None	None	None	None	None
0597IbnJawzi.AkhbarHamqaWaMughaffalin.Hindawi90909497	literature	90909497	أخبار الحمقى والمغفلين	62515159	أبو الفرج بن الجوزي	None	None	None	None	None
0632BahaDinIbnShaddad.NawadirSultaniyya.Hindawi20851796	biographies :: history	20851796	سيرة صلاح الدين الأيوبي: المسمى النوادر السلطانية والمحاسن اليوسفية	71597070	أبو المحاسن بهاء الدين بن شداد	None	None	None	None	None
0636IbnHasanKatibBaghdadi.Tabikh.Hindawi93091736	health	93091736	كتاب الطبيخ ومعجم المآكل الدمشقية	69407942 :: 62505848	محمد بن الحسن بن محمد الكاتب البغدادي :: فخري البارودي #تقديم#	None	None	None	None	None
0649IbnSahlAndalusi.Diwan.Hindawi35927485	poetry	35927485	ديوان ابن سهل الأندلسي	73172868	أحمد حسنين القرني	None	None	None	None	None
0685IbnCibri.MukhtasarFiCilmNafsInsaniyya.Hindawi73717407	philosophy	73717407	مختصر في علم النفس الإنسانية	72915741	ابن العبري	48081579	بولس سباط	None	None	None
1000QissaShacbiyya.QissatMayyasaWaMiqdad.Hindawi86147061	novels	86147061	قصة الميَّاسة والمقداد			None	None	None	None	None
1125IlyasHannaMawsili.RihlaIlaAmrika.Hindawi90684824	travel.literature	90684824	رحلة أول شرقي إلى أمركة	15839197	إلياس حنَّا الموصلي	26841974	أنطون الربَاط	None	None	None
1237Jabarti.CajaibAthar1.Hindawi70379519	history	70379519	عجايب الآثار في التراجم والأخبار (الجزء الأول)	28182839	عبد الرحمن الجبرتي	None	None	None	None	None
1237Jabarti.CajaibAthar2.Hindawi38614175	history	38614175	عجايب الآثار في التراجم والأخبار (الجزء الثاني)	28182839	عبد الرحمن الجبرتي	None	None	None	None	None
1237Jabarti.CajaibAthar3.Hindawi58463626	history	58463626	عجايب الآثار في التراجم والأخبار (الجزء الثالث)	28182839	عبد الرحمن الجبرتي	None	None	None	None	None
1237Jabarti.CajaibAthar4.Hindawi53519152	history	53519152	عجايب الآثار في التراجم والأخبار (الجزء الرابع)	28182839	عبد الرحمن الجبرتي	None	None	None	None	None
1237Jabarti.CajaibAthar5.Hindawi51685040	history	51685040	عجايب الآثار في التراجم والأخبار (الجزء الخامس)	28182839	عبد الرحمن الجبرتي	None	None	None	None	None
1243NiqulaTurki.TamallukFaransawiyyaAqtarMisriyya.Hindawi42506202	history	42506202	ذكر تملك جمهور الفرنساوية الأقطار المصرية والبلاد الشامية	92424283	نقولا التركي	None	None	None	None	None
1286NiqulaRizqAllah.AbuSucud.Hindawi16079748	novels	16079748	أبو السعود	26903941	نقولا رزق الله	None	None	None	None	None
1286NiqulaRizqAllah.FidyatSharaf.Hindawi36816950	novels	36816950	فدية الشرف	95753607	ألفونس دنري	None	None	26903941	نقولا رزق الله	1250NotIdentified (TRANSL)
1286NiqulaRizqAllah.ShuhadaTacassub.Hindawi91704704	history :: novels	91704704	شهداء التعصب:  رواية تاريخية وقعت أكثر حوادثها في فرنسا على عهد فرنسوا الثاني ملك فرنسا المتوفى سنة ١٥٦٠م	26903941	نقولا رزق الله	None	None	None	None	None
1287NasifNasraniYaziji.FakihatNudama.Hindawi71924948	literature	71924948	فاكهة الندماء في مراسلات الأدباء	80360515	ناصيف اليازجي	None	None	None	None	None
1290FransisMarrash.GhayatHaqq.Hindawi83858057	novels	83858057	غابة الحق	90906851	فرنسيس فتح الله مَرَّاش	None	None	None	None	None
1290FransisMarrash.MashhadAhwal.Hindawi48196908	literature :: philosophy	48196908	مشهد الأحوال	90906851	فرنسيس فتح الله مَرَّاش	None	None	None	None	None
1290FransisMarrash.MiratHasna.Hindawi70582947	poetry	70582947	مرآة الحسناء	90906851	فرنسيس فتح الله مَرَّاش	None	None	None	None	None
1290MuhammadAhmadCabdRazzaq.KhulasatTarikhCarab.Hindawi86061691	history	86061691	خلاصة تاريخ العرب	61848528	لويس سيديو	79680427	علي مبارك	94627317	محمد أحمد عبد الرازق	1292LouisSedillot.HistoireGeneraleDesArabes (TRANSL)
1290RifacaTahtawi.ManahijAlbabMisriyya.Hindawi47074694	social.sciences	47074694	مناهج الألباب المصرية في مباهج الآداب العصرية	25759631	رفاعة رافع الطهطاوي	None	None	None	None	None
1290RifacaTahtawi.TakhlisIbriz.Hindawi46205086	travel.literature :: social.sciences	46205086	تخليص الإبريز في تلخيص باريز	25759631	رفاعة رافع الطهطاوي	None	None	None	None	None
1298SalihMajdi.MaqalatAdabiyya.Hindawi94050268	literature	94050268	المقالات الأدبية	92419140	صالح مجدي	None	None	None	None	None
1300Anonymous.AlfLaylaWaLayla01.Hindawi61961973	literature	61961973	ألف ليلة وليلة (الجزء الأول)			None	None	None	None	None
1300Anonymous.AlfLaylaWaLayla02.Hindawi36973840	literature	36973840	ألف ليلة وليلة (الجزء الثاني)			None	None	None	None	None
1300Anonymous.AlfLaylaWaLayla03.Hindawi85931905	literature	85931905	ألف ليلة وليلة (الجزء الثالث)			None	None	None	None	None
1300Anonymous.AlfLaylaWaLayla04.Hindawi39419251	literature	39419251	ألف ليلة وليلة (الجزء الرابع)			None	None	None	None	None
1300Anonymous.AlfLaylaWaLayla05.Hindawi75264279	literature	75264279	ألف ليلة وليلة (الجزء الخامس)			None	None	None	None	None
1300Anonymous.AlfLaylaWaLayla06.Hindawi27482482	literature	27482482	ألف ليلة وليلة (الجزء السادس)			None	None	None	None	None
1300ButrusBustani.MacarikCarabFiAndalus.Hindawi30703918	history	30703918	معارك العرب في الأندلس	84853603	بطرس البستاني	None	None	None	None	None
1300ButrusBustani.UdabaCarabFiAcsurCabbasiyya.Hindawi73640603	literary.criticism :: literature	73640603	أدباء العرب في الأعصر العباسية	84853603	بطرس البستاني	None	None	None	None	None
1300ButrusBustani.UdabaCarabFiJahiliyyaWaSadrIslam.Hindawi48607936	literary.criticism :: literature	48607936	أدباء العرب في الجاهلية وصدر الإسلام	84853603	بطرس البستاني	None	None	None	None	None
1300JurjiMutran.BaynNarayn.Hindawi86391480	novels	86391480	بين نارين	82636392	جرجي مطران	None	None	None	None	None
1301AdibIshaq.Andromak.Hindawi94742841	plays	94742841	أندروماك: مسرحية تشخيصية ذات خمسة فصول	27918574	أديب إسحق	None	None	None	None	None
1301AdibIshaq.BarisiyyaHasna.Hindawi92903907	novels	92903907	الباريسية الحسناء	27918574	أديب إسحق	None	None	None	None	None
1301SalimKhalilNaqqash.GharaibSadaf.Hindawi29684682	plays	29684682	غرائب الصدف	73530582	سليم خليل النقاش	None	None	None	None	None
1301SalimKhalilNaqqash.May.Hindawi62031951	plays	62031951	مي	73530582	سليم خليل النقاش	None	None	None	None	None
1301SalimKhalilNaqqash.Zulum.Hindawi26859382	plays	26859382	الظلوم	73530582	سليم خليل النقاش	None	None	None	None	None
1304AhmadFarisShidyaq.KashfMukhabba.Hindawi13068491	travel.literature	13068491	كشف المُخبَّا عن فنون أوربا	30497249	أحمد فارس الشدياق	None	None	None	None	None
1304AhmadFarisShidyaq.WasitaFiMacrifatAhwalMalta.Hindawi84130273	travel.literature	84130273	الواسطة في معرفة أحوال مالطة	30497249	أحمد فارس الشدياق	None	None	None	None	None
1306IbrahimSubhi.HakimTayyar.Hindawi70973937	plays	70973937	الحكيم الطيار	94039362	إبراهيم صبحي	None	None	None	None	1083Moliere.MedecinVolant (TRANSL)
1307BulusButrusMascad.IbnSinaFaylusuf.Hindawi86205862	biographies :: philosophy	86205862	ابن سينا الفيلسوف: بعد تسعمئة سنة على وفاته	60302515	بولس مسعد	None	None	None	None	None
1307KhayrDinTunisi.AqwamMasalik.Hindawi36480695	history	36480695	أقوَم المسالك في معرفة أحوال الممالك	46460603	خير الدين التونسي	None	None	None	None	None
1308IbrahimAhdabTarabulsi.WazirIbnZaydun.Hindawi31492590	plays	31492590	الوزير ابن زَيْدون مع وَلَّادة بنت المستكفي	74070613	إبراهيم الأحدب الطرابلسي	None	None	None	None	None
1310CaliMubarak.Hayati.Hindawi90971751	biographies	90971751	حياتي	79680427	علي مبارك	None	None	None	None	None
1314JamalDinAfghani.BayanFiInjlizWaAfghan.Hindawi47907247	history	47907247	البيان في الإنجليز والأفغان	71572096	جمال الدين الأفغاني	None	None	None	None	None
1314JamalDinAfghani.CurwaWuthqa.Hindawi68096495	literature	68096495	العروة الوثقى	71572096 :: 61829392	جمال الدين الأفغاني :: محمد عبده	None	None	None	None	None
